IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
239927,36055,Monroe County,New York,EAST,2,14621 Rochester,14621,0.34,0.19,0.12,0.33,0.43,2.6,0.07,0.46,22107,12235,0.400948083,0.070060113,0.149463246,0.379528557
239992,36029,Erie County,New York,EAST,2,14220 Buffalo,14220,0.25,0.14,0.16,0.95,0.01,2.46,0.19,0.25,35839,17361,0.502132331,0.046195958,0.195684483,0.255987228
239999,26099,Macomb County,Michigan,MIDWEST,3,48088 Warren,48088,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50118.31,24542.77,0.514278464,0.020008037,0.126937748,0.33877575
240008,48201,Harris County,Texas,SOUTH,7,77079 Houston,77079,0.27,0.13,0.13,0.83,0.03,2.58,0.52,0.1,70587,37453,0.519553034,0.154480229,0.074200573,0.251766164
240028,33015,Rockingham County,New Hampshire,EAST,1,03801 Portsmouth,3801,0.17,0.1,0.16,0.94,0.02,2.06,0.37,0.2,45591,27635,0.437639355,0.162830928,0.119972157,0.279557559
240042,48201,Harris County,Texas,SOUTH,7,77532 Crosby,77532,0.29,0.15,0.09,0.75,0.18,2.83,0.13,0.19,49805,20024,0.534088844,0.048030534,0.361591405,0.056289216
240093,41005,Clackamas County,Oregon,WEST,9,97267 Portland,97267,0.23,0.12,0.14,0.92,0.01,2.52,0.2,0.14,49742,22984,0.518402111,0.15020941,0.151114998,0.18027348
240127,13135,Gwinnett County,Georgia,SOUTH,5,30087 Stone Mountain,30087,0.28,0.15,0.08,0.43,0.5,2.89,0.4,0.07,69527,28311,0.635662995,0.034406337,0.269547125,0.060383543
240157,9001,Fairfield County,Connecticut,EAST,1,06820 Darien,6820,0.32,0.21,0.12,0.96,0,2.95,0.63,0.05,146755,77519,0.348756144,0.068962008,0.037581422,0.544700426
240219,53061,Snohomish County,Washington,WEST,9,98087 Lynnwood,98087,0.25,0.14,0.12,0.78,0.11,2.56,0.27,0.18,50332.26,24663.93,0.502947047,0.06498956,0.219483588,0.212579805
240255,36005,Bronx County,New York,EAST,2,10462 Bronx,10462,0.27,0.16,0.11,0.37,0.28,2.54,0.18,0.29,33735,16543,0.439326801,0.075833333,0,0.484839866
240314,26125,Oakland County,Michigan,MIDWEST,3,48307 Rochester,48307,0.25,0.15,0.09,0.88,0.03,2.38,0.37,0.11,62484,31376,0.57180622,0.060020057,0.09116347,0.277010254
